x,y,elev,slope,aspect,ndvi,bio,sm,tem,pre,lst
84.3993,31.0106,5502,7.60023,171.597,0.1514,578.357,2216,-6.125,1241,0.944
88.0124,31.0317,5175,9.06564,195.169,0.2436,714.257,2652,-3.25,3010,29.294
81.2486,31.0373,5521,4.22456,246.038,0.1022,-9999,2071,-7.433333333333333,2030,0
85.2309,31.0487,4652,0.163631,113.199,0.1301,595.048,2348,0.7166666666666667,1475,0
91.0103,31.0658,5010,3.82992,194.711,0.3189,1050.59,2740,-2.625,4716,27.498
80.0512,31.0949,4502,1.87147,16.2164,0.1466,659.467,2319,-1.0166666666666666,4476,29.996
90.8998,31.1107,4976,4.44692,234.419,0.3748,1110.53,2670,-2.5083333333333333,4806,0
83.3351,31.1152,4856,0.457572,320.08,0.1814,597.296,2187,-1.95,1377,0
88.9097,31.124,4708,3.52854,27.1364,0.1938,917.021,2765,1.55,4345,0.716
81.543,31.1302,5544,1.55418,1.31995,0.0251,-9999,2089,-10.058333333333334,1992,26.71
81.0755,31.1324,5353,8.41916,238.538,0.17,591.472,2312,-6.141666666666667,1955,0
86.4395,31.149,4751,1.89951,92.8085,0.1507,695.889,2264,0.6416666666666667,1991,13.85
89.8372,31.1492,4748,0.22648,145.305,0.2414,1022.21,2658,-0.09166666666666666,4730,26.956
81.2304,31.1529,5758,5.18631,72.3635,0.0488,-9999,1874,-11.066666666666666,1700,0
91.2206,31.1556,4691,1.28707,76.8142,0.2611,1356.28,2699,-0.4333333333333333,4787,0
89.321,31.1565,4843,1.20018,161.565,0.1963,937.495,2471,-0.21666666666666665,4448,4.786
80.1845,31.1693,4111,6.90853,35.0017,0.0966,637.127,2292,2.525,4865,0
85.8493,31.1724,4746,1.43442,6.59287,0.1062,631.72,2336,0.11666666666666667,1588,0
83.2788,31.1782,5043,3.37103,85.8624,0.1285,594.528,2268,-1.7916666666666667,1293,24.112000000000002
90.3616,31.1913,4911,6.72331,327.119,0.2761,970.906,2526,-1.7083333333333333,4443,0
84.4282,31.2043,4903,1.77612,262.589,0.1397,584.268,2223,-0.9333333333333333,1256,30.064
79.0597,31.2281,4686,26.6008,259.806,0.1409,820.491,2294,-2.075,5765,0
81.727,31.2587,5418,1.80504,34.0052,0.2045,726.246,2043,-7.8,2020,28.663999999999998
88.9085,31.2899,4790,4.2438,327.381,0.13,951.929,2352,-0.5416666666666667,4253,0
81.0165,31.2996,5765,0.907321,11.8421,0.1045,-9999,2048,-10.65,1312,2.684
87.3677,31.3088,5216,7.45433,186.969,0.2569,805.472,2571,-2.783333333333333,2606,28.536
88.8502,31.3413,4752,3.43342,327.767,0.2482,943.037,2629,0.6083333333333333,4233,29.732
82.81,31.3627,4754,0.224889,350.838,0.2437,638.135,2451,-1.0833333333333335,1204,29.683999999999997
85.7745,31.3678,4995,0.394098,109.093,0.1209,563.214,2299,-1.3833333333333333,1424,0
79.9551,31.3765,3833,1.09042,308.601,0.0859,715.407,2063,4.491666666666666,5708,0
85.045,31.3801,4706,0.605831,173.211,0.0748,538.525,2223,0.1,1274,0
90.3847,31.4277,4671,0.50894,177.58,0.1545,961.101,2291,0.29166666666666663,4557,0
82.6615,31.4302,4801,0.90500100000000006,129.864,0.0865,637.784,2216,-1.4,1176,29.692
79.2505,31.4302,4549,9.7383400000000009,333.808,0.1321,742.002,2311,-1.7916666666666667,4326,0
80.743,31.4354,5610,5.2145,269.058,0.0827,-9999,2387,-10.466666666666667,1133,0
81.2173,31.4385,5562,13.3762,155.86,0.1455,646.521,2194,-8.391666666666667,1237,0
87.7743,31.4388,4971,7.97588,195.524,0.1502,730.993,2229,-1.5,3155,0
85.6793,31.4467,4907,4.13857,195.429,0.1355,583.984,2042,-1.5916666666666666,1379,0
85.9655,31.4564,4979,0.358952,298.61,0.1849,695.479,2356,-2.1333333333333333,1507,12.372
86.7117,31.4595,4812,5.80465,346.562,0.2215,804.99,2359,-1.6416666666666668,2086,2.7399999999999998
84.432,31.4656,4974,3.91954,140.181,0.1347,539.662,2188,-1.9666666666666668,1079,0
82.0495,31.4658,5259,1.90962,78.1003,0.1553,602.06,2232,-5.308333333333334,1195,29.246
85.8546,31.4886,4963,0.237318,185.194,0.1421,608.588,2373,-2.283333333333333,1422,0
90.7177,31.4888,4924,4.39542,206.357,0.3122,988.086,2644,-2.425,4763,0
79.6759,31.489,3617,2.83716,201.453,0.0651,705.019,2056,5.508333333333334,6687,30.444
79.9472,31.4993,4349,10.8264,261.732,0.133,612.094,2094,0.9583333333333334,3527,0
88.0367,31.5084,5345,3.9547,190.944,0.1873,755.823,2409,-4.191666666666666,3296,0
87.1865,31.5123,4843,3.37439,237.995,0.1376,693.408,2181,-0.19166666666666668,2512,0
83.8457,31.5234,4959,9.20458,101.795,0.138,524.823,2346,-2.7,983,0
86.1585,31.53,4831,0.430902,291.448,0.1663,685.149,2357,-1.175,1618,0
90.1571,31.5495,4778,0.939855,187.883,0.1556,1043.8,2491,-0.5583333333333333,4496,0
84.6808,31.5649,4943,9.32214,9.29018,0.1962,575.553,2530,-3.9333333333333336,1143,0
81.8968,31.5918,4989,1.4608,0.561705,0.129,590.861,2223,-3.3166666666666664,1102,29.106
79.9575,31.5935,4670,6.00159,237.33,0.1128,585.537,2152,-1.3333333333333335,2570,0
83.4185,31.6113,6351,3.98433,278.566,-0.0346,-9999,2752,-15.066666666666666,957,0
85.3611,31.6126,5545,8.63733,358.916,0.1347,-9999,2084,-8.05,1157,28.401999999999997
89.6656,31.6429,4556,0.0771368,291.801,0.1678,1010.55,2353,1.05,4631,29.244
79.5101,31.6466,4120,1.27844,61.5688,0.0514,677.678,2055,2.308333333333333,4497,10.912
81.8936,31.6681,4879,1.22975,14.8455,0.1163,607.754,2196,-2.475,1012,0
84.6235,31.6832,4768,0.855844,95.2812,0.23,1192.52,2297,-1.1,1060,6.4319999999999995
82.5089,31.6842,5022,2.78024,234.428,0.1056,594.232,2312,-2.6,842,29.182
80.7887,31.6869,5802,10.6279,332.206,0.1062,-9999,2020,-10.816666666666666,949,0
81.3156,31.6922,5149,1.04136,232.263,0.1396,652.509,2019,-5.441666666666666,919,0
81.7457,31.6936,5031,2.51372,228.001,0.115,599.689,2055,-3.4166666666666665,950,0
90.4336,31.6962,4651,0.333163,25.4633,0.3202,1163.61,2917,-0.4333333333333333,4527,0
90.0453,31.7006,4738,3.01398,288.693,0.1671,994.236,2555,-1.0416666666666665,4505,0
79.512200000000007,31.7018,4071,2.07268,280.146,0.0699,-9999,2258,1.4583333333333335,3984,0
79.6113,31.7048,4164,2.1919400000000002,250.145,0.0635,640.552,2141,1.2083333333333335,3688,0
90.3128,31.71,4671,0.628027,44.076,0.2779,1008.79,2734,-0.31666666666666665,4441,0
88.928,31.7103,4726,4.69202,78.7585,0.1951,917.458,2465,1.7,4242,0
82.165,31.7165,5118,3.37003,176.105,0.1213,648.359,2278,-3.725,806,8.67
86.5118,31.7455,4913,5.11872,9.3966,0.1744,-9999,2184,-2.075,1835,0.438
82.9827,31.7712,4838,0.980075,21.8792,0.1272,548.416,2247,-2.3583333333333334,804,6.7459999999999996
