tem,pre,sm,elev,npp,X,Y
-6.222878932952881,195,22.399999618530273,5266,33.20000076293945,86.7323406817398,34.091065032335834
-4.293925762176514,194,2.4000000953674316,4972,31.399999618530273,86.82217221015175,34.001233503923885
-3.120689868927002,83,1.2000000476837158,4907,24.799999237060547,84.486552471441,33.911401975511936
-7.506404399871826,165,17.5,4796,25.899999618530273,88.16964513633104,36.6063478278705
-7.792494773864746,263,57.900001525878906,5051,27.600000381469727,90.8645909886896,35.708032543750974
-5.87314510345459,75,3.5999999046325684,5264,31.200000762939453,83.40857413049757,33.82157044709998
-2.4654181003570557,150,1.2000000476837158,4890,40.20000076293945,86.19335151126809,32.92325516298046
-5.456788063049316,254,22.799999237060547,5040,34.900001525878906,88.34930819315494,34.091065032335834
-2.87448787689209,88,1.2000000476837158,4830,26.200000762939453,84.57638399985295,33.82157044709998
-5.306239604949951,240,20.600000381469727,5016,33.900001525878906,88.25947666474299,34.450391145983644
-3.0180680751800537,103,6,5093,41.79999923706055,81.97126967590634,31.845276822037032
-4.715665340423584,231,19.299999237060547,4942,35.099998474121094,88.43913972156689,34.5402226743956
-5.065012454986572,109,1.2000000476837158,5326,36.400001525878906,85.20520469873662,33.192749748216315
-3.182255506515503,227,26.399999618530273,4476,38.599998474121094,93.64936836946012,35.43853795851512
-4.5264387130737305,97,4.800000190734863,5069,38.79999923706055,82.51025884637805,31.75544529362508
-5.625809669494629,252,10.199999809265137,4865,33.900001525878906,90.23577028980594,35.34870643010317
-4.940986156463623,116,22.899999618530273,5257,29,82.15093273273024,31.66561376521313
-7.37520170211792,254,33.70000076293945,4913,23.200000762939453,90.95442251710155,35.618201015339025
-5.594905376434326,73,2.4000000953674316,5098,29.600000381469727,83.85773177255733,34.091065032335834
-4.700690269470215,111,1.2000000476837158,5038,30.899999618530273,84.93571011350076,33.82157044709998
-3.698908567428589,80,1.2000000476837158,4815,37.400001525878906,84.12722635779319,33.641907390276074
-8.277364730834961,135,4.800000190734863,5244,27.5,85.38486775556052,34.809717259631455
-10.777884483337402,305,388.79998779296875,5440,23.299999237060547,90.77475946027765,35.88769560057488
-6.450565814971924,263,10.899999618530273,4971,31.700000762939453,89.06796042045056,35.528369486927076
-8.0901517868042,253,42.29999923706055,4929,28.200000762939453,90.50526487504179,35.977527128986836
-5.96794319152832,258,25.200000762939453,5015,39.70000076293945,88.43913972156689,34.001233503923885
-5.07681131362915,136,15.800000190734863,4782,35.900001525878906,88.25947666474299,36.875842413106355
-8.073241233825684,211,24.200000762939453,5168,24.700000762939453,88.07981360791908,35.618201015339025
-5.594883441925049,252,16.200000762939453,5401,39.70000076293945,87.45099290903542,33.37241280504022
-2.6679701805114746,112,3.5999999046325684,4991,29.399999618530273,82.4204273179661,31.66561376521313
-5.11159086227417,117,4.800000190734863,4611,32,87.98998207950713,36.965673941518304
-5.5185441970825195,215,9.600000381469727,4947,33.29999923706055,87.45099290903542,34.450391145983644
-6.412785053253174,124,4.400000095367432,4743,24.299999237060547,87.45099290903542,36.786010884694406
-8.081212997436523,76,6,5463,35.79999923706055,83.40857413049757,33.46224433345217
-6.316776275634766,209,12.699999809265137,5091,33.099998474121094,87.27132985221152,34.27072808915974
-8.179471015930176,504,357.3999938964844,5301,34.599998474121094,90.8645909886896,33.282581276628264
-2.0117340087890625,81,1.2000000476837158,4811,46.20000076293945,84.486552471441,33.102918219804366
-5.047916412353516,192,4.800000190734863,4952,31.399999618530273,87.18149832379956,34.899548788043404
-8.248624801635742,255,68.4000015258789,4949,27.399999618530273,89.69678111933422,35.977527128986836
-6.830930233001709,154,50.400001525878906,5459,22.899999618530273,81.52211203384658,31.575782236801174
-5.9016265869140625,139,4.800000190734863,4868,18.5,86.91200373856371,35.88769560057488
-6.8192057609558105,244,15.100000381469727,5209,25.700000762939453,87.90015055109518,34.18089656074779
-7.367079734802246,252,29.299999237060547,4896,28.5,90.05610723298203,35.79786407216293
-4.575322151184082,112,2.4000000953674316,5036,34.400001525878906,85.29503622714857,34.18089656074779
-7.825621604919434,125,2.4000000953674316,5175,21.299999237060547,85.11537317032466,34.719885731219506
-4.707492828369141,232,10.300000190734863,4987,43.79999923706055,87.18149832379956,33.552075861864125
-2.9629933834075928,108,1.2000000476837158,4969,33.099998474121094,85.47469928397247,33.102918219804366
-10.607975006103516,263,571.20001220703125,5406,27.799999237060547,88.52897124997884,35.258874901691215
-7.9197893142700195,269,123.4000015258789,5027,27.200000762939453,91.22391710233741,35.79786407216293
-4.568726539611816,248,12.699999809265137,4905,34.29999923706055,87.54082443744737,33.552075861864125
-9.239055633544922,541,289.20001220703125,5482,26.799999237060547,91.0442540455135,33.192749748216315
-5.713675022125244,145,3.5999999046325684,4973,25.200000762939453,86.10351998285614,34.809717259631455
-8.243345260620117,180,9.600000381469727,5305,22.799999237060547,86.46284609650394,34.27072808915974
-5.6198811531066895,227,12,4964,32.599998474121094,87.98998207950713,34.63005420280755
-5.698357582092285,74,2.4000000953674316,5206,28.799999237060547,83.22891107367367,33.82157044709998
-8.46543025970459,253,95.5,5072,38.599998474121094,89.78661264774618,36.067358657398785
-4.456337928771973,231,20.600000381469727,4846,29.899999618530273,88.52897124997884,34.63005420280755
-4.137407302856445,104,1.2000000476837158,5030,31.5,84.84587858508881,33.82157044709998
-4.867014408111572,121,13.800000190734863,5337,34.400001525878906,83.13907954526172,31.126624594741415
-6.125668525695801,318,79.30000305175781,5113,41.29999923706055,88.7984658352147,33.73173891868803
-6.6898298263549805,214,10.300000190734863,4972,31.5,88.16964513633104,35.34870643010317
-4.74654483795166,229,16.899999618530273,4857,31.899999618530273,88.34930819315494,34.63005420280755
-6.820267677307129,227,13.899999618530273,5174,31.200000762939453,87.45099290903542,34.091065032335834
-4.080380439758301,108,1.2000000476837158,5039,31.299999237060547,84.84587858508881,33.46224433345217
-6.023834705352783,183,3.5999999046325684,5060,22.100000381469727,86.64250915332785,34.63005420280755
-5.967718601226807,196,9.600000381469727,5145,34.099998474121094,86.82217221015175,34.091065032335834
-2.8150789737701416,113,12,4922,38.20000076293945,81.34244897702267,32.024939878860934
-3.286191463470459,96,1.2000000476837158,4914,39.599998474121094,84.84587858508881,33.01308669139241
-3.7252509593963623,206,1.2000000476837158,4891,30.200000762939453,87.09166679538761,34.001233503923885
-5.193713188171387,147,8.399999618530273,4589,32.29999923706055,88.6188027783908,36.786010884694406
-3.046783924102783,131,12.600000381469727,5052,34.20000076293945,82.95941648843781,31.126624594741415
-4.1628193855285645,145,20.600000381469727,5154,31,81.79160661908243,31.575782236801174
-5.849742412567139,60,2.4000000953674316,5148,29.200000762939453,82.77975343161391,33.73173891868803
-3.24532151222229,61,1.2000000476837158,4900,32,82.95941648843781,33.282581276628264
-2.5184574127197266,234,6,4891,43.70000076293945,87.27132985221152,33.37241280504022
-1.8390413522720337,74,1.2000000476837158,4644,36.29999923706055,84.12722635779319,33.46224433345217
-4.1123366355896,122,12.600000381469727,5286,34.5,83.04924801684976,31.126624594741415
-7.649796962738037,129,3.5999999046325684,5110,30.100000381469727,85.38486775556052,34.899548788043404
-5.492147922515869,163,3.5999999046325684,4945,18.299999237060547,86.46284609650394,34.719885731219506
-2.823091745376587,150,1.2000000476837158,4834,30.600000381469727,86.10351998285614,33.73173891868803
-4.456375598907471,150,4.800000190734863,4851,27,86.64250915332785,34.98938031645536
-4.320837020874023,230,11.399999618530273,5064,44.20000076293945,87.09166679538761,33.552075861864125
-6.003773212432861,146,14.600000381469727,4692,32,88.34930819315494,36.786010884694406
-7.3466081619262695,62,2.4000000953674316,5313,34.70000076293945,82.68992190320196,33.82157044709998
-3.173872470855713,127,1.2000000476837158,5020,37.70000076293945,85.74419386920833,32.92325516298046
-5.267146587371826,241,26.399999618530273,4971,30.899999618530273,88.52897124997884,34.450391145983644
-5.786491394042969,237,24.200000762939453,4981,41.79999923706055,88.52897124997884,34.809717259631455
-5.899734020233154,414,126.4000015258789,5055,31.299999237060547,90.6849279318657,33.552075861864125
-7.33091402053833,127,4.800000190734863,5114,27.299999237060547,85.56453081238442,34.899548788043404
-8.37617301940918,195,44.70000076293945,5391,29.600000381469727,86.7323406817398,34.18089656074779
-6.081280708312988,437,194.8000030517578,5114,26.399999618530273,90.6849279318657,33.46224433345217
-1.3431165218353271,78,1.2000000476837158,4826,45.900001525878906,84.21705788620514,33.192749748216315
-5.6876726150512695,216,10.800000190734863,4943,34.5,87.63065596585932,34.899548788043404
-3.606551170349121,126,1.2000000476837158,4954,36.900001525878906,85.74419386920833,33.01308669139241
-4.1007466316223145,70,2.4000000953674316,4910,25,83.58823718732148,34.001233503923885
-2.270122528076172,87,1.2000000476837158,4729,43.29999923706055,84.6662155282649,33.102918219804366
-4.993417739868164,110,2.4000000953674316,4898,16.200000762939453,85.20520469873662,34.360559617571695
-5.640875339508057,267,6.699999809265137,4835,31,89.24762347727446,35.43853795851512
-4.670129776000977,164,41.79999923706055,5204,22.399999618530273,81.34244897702267,31.575782236801174
-4.6742753982543945,54,1.2000000476837158,5047,32.400001525878906,82.4204273179661,34.001233503923885
-8.008448600769043,335,553.5999755859375,5342,36,89.33745500568641,34.091065032335834
-5.862042427062988,178,2.4000000953674316,5043,22.399999618530273,86.64250915332785,34.360559617571695
-5.290347099304199,167,3.5999999046325684,4962,22,86.5526776249159,34.719885731219506
-6.854979515075684,225,17.399999618530273,5148,33.599998474121094,87.54082443744737,34.809717259631455
-3.412858247756958,123,12.699999809265137,5069,30.899999618530273,81.16278592019877,32.024939878860934
-9.92068862915039,197,504.1000061035156,5684,21,82.68992190320196,30.767298481093604
-2.9043948650360107,137,18.799999237060547,5010,35.099998474121094,81.79160661908243,31.66561376521313
-4.103981971740723,115,2.4000000953674316,4936,34.79999923706055,85.47469928397247,33.82157044709998
-4.8685526847839355,159,4.800000190734863,4876,28.799999237060547,86.5526776249159,34.899548788043404
-7.149654388427734,228,19.799999237060547,5196,24.600000381469727,87.54082443744737,34.63005420280755
-7.729780197143555,136,4.800000190734863,5430,19.600000381469727,85.56453081238442,34.27072808915974
-6.260191917419434,203,6,4919,22.200000762939453,88.07981360791908,35.528369486927076
-4.530760288238525,229,19.399999618530273,4853,34.29999923706055,88.43913972156689,34.63005420280755
-5.1785101890563965,192,6,4989,28,87.00183526697566,34.450391145983644
-6.331081867218018,149,8.899999618530273,5139,31,82.4204273179661,31.216456123153367
-6.452559947967529,12,152.1999969482422,4892,18.299999237060547,79.99497605084339,35.88769560057488
-7.117121696472168,220,8.300000190734863,4959,27.200000762939453,88.43913972156689,35.88769560057488
-6.121885299682617,237,16.200000762939453,5163,30.299999237060547,87.45099290903542,34.001233503923885
-7.34918212890625,265,87.80000305175781,5203,33.400001525878906,87.90015055109518,33.911401975511936
-5.556635856628418,60,4.800000190734863,5288,40.29999923706055,81.07295439178682,32.56392904933265
-7.171363353729248,158,35.70000076293945,4913,27.100000381469727,88.07981360791908,36.69617935628245
-4.828997611999512,228,11.600000381469727,4909,29.399999618530273,88.25947666474299,34.719885731219506
-6.320440769195557,164,4.800000190734863,5182,26,86.19335151126809,34.719885731219506
-5.1604132652282715,139,2.4000000953674316,4943,23.799999237060547,86.19335151126809,34.899548788043404
-4.411121845245361,107,1.2000000476837158,4922,28.5,84.93571011350076,33.911401975511936
-4.210714817047119,193,2.4000000953674316,5085,34.79999923706055,86.7323406817398,34.001233503923885
-7.8277201652526855,162,62.29999923706055,5622,29.200000762939453,82.77975343161391,30.94696153791751
-5.822862148284912,145,39.79999923706055,4838,42,88.43913972156689,36.875842413106355
-4.015716552734375,88,1.2000000476837158,5054,29.899999618530273,84.57638399985295,33.911401975511936
-7.978046417236328,234,29.600000381469727,5030,42.099998474121094,88.52897124997884,35.34870643010317
-6.797411918640137,241,12.600000381469727,5093,33,87.98998207950713,34.27072808915974
-7.6371660232543945,279,219.8000030517578,5384,30.399999618530273,88.07981360791908,33.73173891868803
-3.7720701694488525,200,1.2000000476837158,4963,39.29999923706055,86.82217221015175,33.82157044709998
-5.345136642456055,260,4.800000190734863,4826,28.899999618530273,89.15779194886251,35.43853795851512
-4.6855316162109375,112,1.2000000476837158,5047,34.400001525878906,85.20520469873662,33.641907390276074
-5.3249735832214355,187,15.100000381469727,4843,34,87.09166679538761,34.98938031645536
-9.8768463134765625,364,206.8000030517578,5419,32.099998474121094,90.23577028980594,34.18089656074779
-5.971935272216797,277,32,4920,33.900001525878906,90.77475946027765,34.719885731219506
-8.099408149719238,296,83.30000305175781,5121,23.700000762939453,91.0442540455135,34.98938031645536
-4.395971298217773,235,11.5,5073,46.400001525878906,87.27132985221152,33.552075861864125
-8.717726707458496,264,77.30000305175781,5067,25.899999618530273,89.96627570457008,35.88769560057488
-1.5919917821884155,69,1.2000000476837158,4596,45.599998474121094,83.76790024414538,32.92325516298046
-7.709591865539551,93,1.2000000476837158,5465,20.399999618530273,84.39672094302905,34.360559617571695
-5.80118989944458,255,12,4858,35.70000076293945,90.6849279318657,35.258874901691215
-2.99684476852417,96,1.2000000476837158,4910,37.599998474121094,84.93571011350076,33.01308669139241
-6.481176376342773,243,115.4000015258789,4787,32.900001525878906,91.76290627280912,36.067358657398785
-1.7743558883666992,65,1.2000000476837158,4669,29.299999237060547,83.76790024414538,33.37241280504022
-2.839568853378296,77,1.2000000476837158,4993,43.79999923706055,82.95941648843781,32.024939878860934
-0.5218239426612854,97,3.5999999046325684,4635,32.79999923706055,82.15093273273024,31.935108350448985
-7.130336761474609,261,13.800000190734863,5076,29.700000762939453,88.9781288920386,35.528369486927076
-3.1317410469055176,103,1.2000000476837158,4905,39.599998474121094,85.02554164191271,33.01308669139241
-3.982822895050049,188,1.2000000476837158,5100,39.900001525878906,86.64250915332785,33.73173891868803
-1.8009185791015625,79,3.5999999046325684,4838,39.400001525878906,82.06110120431829,32.20460293568484
-2.383225202560425,331,94.69999694824219,4821,35.599998474121094,82.2407642611422,30.587635424269703
-5.61073637008667,210,13.800000190734863,5016,24.899999618530273,87.27132985221152,34.5402226743956
-9.65627384185791,45,1.2000000476837158,5423,32.400001525878906,81.97126967590634,34.360559617571695
-7.246072769165039,235,13.399999618530273,5088,29.799999237060547,88.52897124997884,35.618201015339025
-7.104369163513184,136,4.800000190734863,5080,24.700000762939453,86.19335151126809,35.708032543750974
-7.741611957550049,199,26.600000381469727,5104,31.700000762939453,87.90015055109518,35.43853795851512
-7.031825542449951,169,41.900001525878906,5579,27.5,81.52211203384658,31.485950708389225
-5.315201759338379,108,2.4000000953674316,5112,33.900001525878906,85.20520469873662,34.091065032335834
-9.237286567687988,261,136.60000610351563,5314,27,88.6188027783908,35.708032543750974
-2.917160749435425,141,17.399999618530273,4911,29,81.07295439178682,31.935108350448985
-6.774807929992676,227,34.20000076293945,4963,28.700000762939453,89.42728653409837,36.24702171422269
-8.945085525512695,41,1.2000000476837158,5230,28.5,81.88143814749439,34.360559617571695
-5.046415328979492,143,2.4000000953674316,4925,24.5,86.28318303968004,34.899548788043404
-1.5795941352844238,77,1.2000000476837158,4644,39.900001525878906,84.30688941461709,33.282581276628264
-6.947751045227051,265,19.200000762939453,5220,25.799999237060547,87.90015055109518,33.73173891868803
-6.481587886810303,343,217.8000030517578,5658,33.20000076293945,83.76790024414538,29.419825554914325
-4.52982234954834,147,1.2000000476837158,4993,26.600000381469727,86.01368845444418,34.001233503923885
-2.2687971591949463,227,1.2000000476837158,4826,40,87.18149832379956,33.37241280504022
-4.793399333953857,150,13.899999618530273,4808,22.100000381469727,86.82217221015175,35.169043373279266
-4.404409885406494,87,4.800000190734863,5118,39.599998474121094,81.61194356225853,32.20460293568484
-4.9259161949157715,234,13.800000190734863,4912,27.899999618530273,88.16964513633104,34.450391145983644
-8.401938438415527,155,69.19999694824219,5592,32.400001525878906,82.86958496002586,30.94696153791751
-5.554725646972656,182,3.5999999046325684,5009,28.299999237060547,86.7323406817398,34.719885731219506
-8.010951042175293,27,1.2000000476837158,5097,15.5,81.07295439178682,34.98938031645536
-0.761221706867218,68,1.2000000476837158,4601,43.20000076293945,83.85773177255733,33.01308669139241
-7.915125846862793,86,7.199999809265137,5382,28.200000762939453,84.12722635779319,34.091065032335834
-5.2375335693359375,189,13.899999618530273,4921,35.29999923706055,87.18149832379956,34.98938031645536
-9.01431941986084,269,153.1999969482422,5051,30.200000762939453,91.40358015916131,35.79786407216293
-4.853663444519043,231,8.399999618530273,4878,25.700000762939453,87.98998207950713,34.360559617571695
-8.36173152923584,91,9.600000381469727,5441,28.899999618530273,84.12722635779319,34.001233503923885
-6.609081268310547,274,59.79999923706055,4991,30.899999618530273,91.49341168757326,34.899548788043404
-5.721658706665039,186,3.5999999046325684,4999,15.899999618530273,86.82217221015175,34.719885731219506
-6.345566272735596,160,16.299999237060547,4708,32.20000076293945,88.52897124997884,36.69617935628245
-10.611565589904785,166,696.79998779296875,5691,20.5,85.65436234079638,34.360559617571695
-6.509312152862549,252,22.799999237060547,5131,36,88.25947666474299,34.091065032335834
-5.528785705566406,123,3.5999999046325684,5256,21.5,85.47469928397247,34.27072808915974
-2.94268536567688,225,1.2000000476837158,4879,40.20000076293945,87.09166679538761,33.46224433345217
-8.89791488647461,489,402.70001220703125,5311,29,90.77475946027765,33.37241280504022
-1.928283929824829,89,1.2000000476837158,4806,37.20000076293945,84.57638399985295,33.641907390276074
-6.946569919586182,255,405.79998779296875,5477,40.5,82.33059578955415,30.677466952681655
-6.129899501800537,229,10.300000190734863,5084,31.700000762939453,87.63065596585932,34.27072808915974
-8.0828218460083,143,106,5603,36.70000076293945,83.04924801684976,30.94696153791751
-4.1711015701293945,80,1.2000000476837158,5179,40.70000076293945,82.68992190320196,32.024939878860934
-6.3723859786987305,260,18.600000381469727,4931,38.5,90.8645909886896,35.169043373279266
-6.566536903381348,284,95.19999694824219,5256,37.900001525878906,88.34930819315494,33.73173891868803
-4.916712760925293,158,2.4000000953674316,5060,25.399999618530273,86.10351998285614,34.091065032335834
-2.360377788543701,80,1.2000000476837158,4850,22.200000762939453,84.39672094302905,33.82157044709998
